"filename", "language", "PHP", "comment", "blank", "total"
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\API\V1\APIReviewsController.php", "PHP", 73, 0, 8, 81
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\API\V1\APIUsersController.php", "PHP", 2, -6, 0, -4
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\Admin\ProductsAdminPanelController.php", "PHP", -1, 0, 0, -1
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Requests\API\APIUserSearchRequest.php", "PHP", -21, -10, -5, -36
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Requests\API\Reviews\APIDeleteReviewRequest.php", "PHP", 15, 11, 5, 31
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Requests\API\Reviews\APIProductReviewsSearchRequest.php", "PHP", 17, 10, 5, 32
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Requests\API\Reviews\APIUpdateReviewRequest.php", "PHP", 15, 11, 5, 31
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Requests\API\Reviews\APIUserReviewsSearchRequest.php", "PHP", 17, 10, 5, 32
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Requests\API\Users\APIUserSearchRequest.php", "PHP", 21, 10, 5, 36
"c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\ComponentsMethods\SearchForm\SearchFormProductsSearchMethod.php", "PHP", 18, 0, 4, 22
"c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\ComponentsMethods\SearchForm\SearchFormReviewsSearchMethod.php", "PHP", 11, 0, 4, 15
"c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\ComponentsMethods\SearchForm\SearchFormSearchMethod.php", "PHP", -39, -1, -4, -44
"c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\ComponentsMethods\SearchForm\SearchFormUsersSearchMethod.php", "PHP", 27, 1, 3, 31
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\admin\products\reviews.blade.php", "PHP", -50, 0, 1, -49
"c:\Users\admin\source\repos\Silerium_laravel\routes\api\api.php", "PHP", 5, 0, 0, 5
"c:\Users\admin\source\repos\Silerium_laravel\tests\Feature\API\APIProductTest.php", "PHP", -28, 0, -4, -32
"c:\Users\admin\source\repos\Silerium_laravel\tests\Feature\API\APIReviewTest.php", "PHP", 90, 0, 21, 111
"c:\Users\admin\source\repos\Silerium_laravel\tests\Feature\API\APIUsersTest.php", "PHP", -1, 0, 0, -1
"Total", "-", 171, 36, 53, 260
