"filename", "language", "PHP", "XML", "CSS", "SQL", "JSON", "Ini", "comment", "blank", "total"
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\admin\products\reviews.blade.php", "PHP", 34, 0, 0, 0, 0, 0, 0, -3, 31
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\admin\products\update.blade.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\catalog\products.blade.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\components\filter-form.blade.php", "PHP", -2, 0, 0, 0, 0, 0, 0, 0, -2
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\components\layout.blade.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\components\search-form.blade.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 1, 41
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\components\seller-layout.blade.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\seller\account.blade.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\seller\auth\login.blade.php", "PHP", 50, 0, 0, 0, 0, 0, 0, 0, 50
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\seller\auth\register.blade.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\seller\index.blade.php", "PHP", 2, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\seller\orders\orders.blade.php", "PHP", 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\seller\products\create.blade.php", "PHP", 86, 0, 0, 0, 0, 0, 0, 2, 88
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\seller\products\delete.blade.php", "PHP", 81, 0, 0, 0, 0, 0, 0, 2, 83
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\seller\products\index.blade.php", "PHP", 42, 0, 0, 0, 0, 0, 0, 1, 43
