Date : 2024-06-30 21:42:54
Directory : c:\Users\admin\source\repos\Silerium_laravel
Total : 195 files,  18640 codes, 1625 comments, 906 blanks, all 21171 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          5 |     12,714 |          0 |          5 |     12,719 |
| PHP        |        178 |      5,679 |      1,600 |        866 |      8,145 |
| JavaScript |          6 |        133 |         23 |         15 |        171 |
| CSS        |          3 |         75 |          2 |         17 |         94 |
| XML        |          1 |         31 |          0 |          1 |         32 |
| Ini        |          1 |          6 |          0 |          1 |          7 |
| Markdown   |          1 |          2 |          0 |          1 |          3 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                          |        195 |     18,640 |      1,625 |        906 |     21,171 |
| . (Files)                                                                                                                  |          9 |     12,682 |          0 |         12 |     12,694 |
| .osp                                                                                                                       |          1 |          6 |          0 |          1 |          7 |
| app                                                                                                                        |         72 |      1,799 |        402 |        330 |      2,531 |
| app\ApiFilters                                                                                                             |          2 |         53 |          0 |         12 |         65 |
| app\ApiFilters (Files)                                                                                                     |          1 |          9 |          0 |          4 |         13 |
| app\ApiFilters\V1                                                                                                          |          1 |         44 |          0 |          8 |         52 |
| app\Console                                                                                                                |          1 |         15 |         12 |          6 |         33 |
| app\Enum                                                                                                                   |          2 |         27 |          0 |          2 |         29 |
| app\Exceptions                                                                                                             |          1 |         21 |         23 |          7 |         51 |
| app\Facades                                                                                                                |          3 |         30 |          0 |          9 |         39 |
| app\Http                                                                                                                   |         32 |        967 |        187 |        149 |      1,303 |
| app\Http (Files)                                                                                                           |          1 |         41 |         21 |          7 |         69 |
| app\Http\Controllers                                                                                                       |         16 |        741 |         66 |         79 |        886 |
| app\Http\Controllers (Files)                                                                                               |          3 |         30 |          0 |         12 |         42 |
| app\Http\Controllers\API                                                                                                   |          4 |        148 |         60 |         25 |        233 |
| app\Http\Controllers\API\V1                                                                                                |          4 |        148 |         60 |         25 |        233 |
| app\Http\Controllers\Admin                                                                                                 |          3 |        103 |          0 |         12 |        115 |
| app\Http\Controllers\Product                                                                                               |          2 |        116 |          0 |          8 |        124 |
| app\Http\Controllers\User                                                                                                  |          4 |        344 |          6 |         22 |        372 |
| app\Http\Middleware                                                                                                        |         10 |        123 |         70 |         43 |        236 |
| app\Http\Resources                                                                                                         |          5 |         62 |         30 |         20 |        112 |
| app\Http\Resources\V1                                                                                                      |          5 |         62 |         30 |         20 |        112 |
| app\Models                                                                                                                 |         10 |        240 |         16 |         47 |        303 |
| app\Providers                                                                                                              |          8 |        179 |         92 |         46 |        317 |
| app\Services                                                                                                               |          6 |        171 |          9 |         16 |        196 |
| app\View                                                                                                                   |          7 |         96 |         63 |         36 |        195 |
| app\View\Components                                                                                                        |          7 |         96 |         63 |         36 |        195 |
| bootstrap                                                                                                                  |          1 |         17 |         30 |          9 |         56 |
| config                                                                                                                     |         15 |        551 |        733 |        237 |      1,521 |
| database                                                                                                                   |         31 |        630 |        288 |        125 |      1,043 |
| database\factories                                                                                                         |          3 |         58 |         29 |         13 |        100 |
| database\migrations                                                                                                        |         23 |        466 |        233 |         92 |        791 |
| database\seeders                                                                                                           |          5 |        106 |         26 |         20 |        152 |
| lang                                                                                                                       |          7 |        685 |         60 |         33 |        778 |
| lang\en                                                                                                                    |          4 |        165 |         60 |         24 |        249 |
| lang\ru                                                                                                                    |          3 |        520 |          0 |          9 |        529 |
| public                                                                                                                     |          2 |         86 |         30 |         29 |        145 |
| public (Files)                                                                                                             |          1 |         14 |         30 |         12 |         56 |
| public\css                                                                                                                 |          1 |         72 |          0 |         17 |         89 |
| resources                                                                                                                  |         45 |      2,033 |         24 |         83 |      2,140 |
| resources\css                                                                                                              |          1 |          2 |          0 |          0 |          2 |
| resources\js                                                                                                               |          2 |         13 |         23 |          8 |         44 |
| resources\views                                                                                                            |         42 |      2,018 |          1 |         75 |      2,094 |
| resources\views (Files)                                                                                                    |          3 |        113 |          0 |          3 |        116 |
| resources\views\admin                                                                                                      |         13 |        462 |          0 |         16 |        478 |
| resources\views\admin (Files)                                                                                              |          3 |        107 |          0 |          5 |        112 |
| resources\views\admin\products                                                                                             |          4 |        315 |          0 |          6 |        321 |
| resources\views\admin\users                                                                                                |          6 |         40 |          0 |          5 |         45 |
| resources\views\catalog                                                                                                    |          3 |        411 |          1 |         16 |        428 |
| resources\views\categories                                                                                                 |          2 |         55 |          0 |          4 |         59 |
| resources\views\components                                                                                                 |          7 |        227 |          0 |         13 |        240 |
| resources\views\pagination                                                                                                 |          1 |         43 |          0 |          4 |         47 |
| resources\views\user                                                                                                       |         13 |        707 |          0 |         19 |        726 |
| resources\views\user (Files)                                                                                               |          3 |        273 |          0 |          6 |        279 |
| resources\views\user\auth                                                                                                  |          5 |        202 |          0 |          9 |        211 |
| resources\views\user\orders                                                                                                |          2 |         63 |          0 |          2 |         65 |
| resources\views\user\review                                                                                                |          3 |        169 |          0 |          2 |        171 |
| routes                                                                                                                     |          6 |        104 |         40 |         27 |        171 |
| routes (Files)                                                                                                             |          2 |         11 |         20 |          8 |         39 |
| routes\api                                                                                                                 |          1 |          9 |         10 |          4 |         23 |
| routes\web                                                                                                                 |          3 |         84 |         10 |         15 |        109 |
| tests                                                                                                                      |          4 |         40 |         16 |         19 |         75 |
| tests (Files)                                                                                                              |          2 |         19 |          5 |         10 |         34 |
| tests\Feature                                                                                                              |          1 |         11 |          6 |          5 |         22 |
| tests\Unit                                                                                                                 |          1 |         10 |          5 |          4 |         19 |
| vendor                                                                                                                     |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie                                                                                                              |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition                                                                                                     |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition\resources                                                                                           |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition\resources\compiled                                                                                  |          2 |          7 |          2 |          1 |         10 |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                   | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\admin\source\repos\Silerium_laravel\.osp\project.ini                                                              | Ini        |          6 |          0 |          1 |          7 |
| c:\Users\admin\source\repos\Silerium_laravel\README.md                                                                     | Markdown   |          2 |          0 |          1 |          3 |
| c:\Users\admin\source\repos\Silerium_laravel\app\ApiFilters\ApiFilter.php                                                  | PHP        |          9 |          0 |          4 |         13 |
| c:\Users\admin\source\repos\Silerium_laravel\app\ApiFilters\V1\ProductFilter.php                                           | PHP        |         44 |          0 |          8 |         52 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Console\Kernel.php                                                        | PHP        |         15 |         12 |          6 |         33 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Enum\OrderStatus.php                                                      | PHP        |         16 |          0 |          1 |         17 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Enum\SortOrder.php                                                        | PHP        |         11 |          0 |          1 |         12 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Exceptions\Handler.php                                                    | PHP        |         21 |         23 |          7 |         51 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Facades\ConvertCurrency.php                                               | PHP        |         10 |          0 |          3 |         13 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Facades\ValidateEmail.php                                                 | PHP        |         10 |          0 |          3 |         13 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Facades\ValidatePhone.php                                                 | PHP        |         10 |          0 |          3 |         13 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\API\V1\APICategoriesController.php                       | PHP        |         40 |         30 |          8 |         78 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\API\V1\APIHomeController.php                             | PHP        |         11 |          0 |          4 |         15 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\API\V1\APIProductsController.php                         | PHP        |         57 |          0 |          4 |         61 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\API\V1\APISubcategoriesController.php                    | PHP        |         40 |         30 |          9 |         79 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\Admin\AdminPanelController.php                           | PHP        |         18 |          0 |          4 |         22 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\Admin\ProductsAdminPanelController.php                   | PHP        |         72 |          0 |          4 |         76 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\Admin\UsersAdminPanelController.php                      | PHP        |         13 |          0 |          4 |         17 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\Controller.php                                           | PHP        |         10 |          0 |          4 |         14 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\FallbackController.php                                   | PHP        |         10 |          0 |          4 |         14 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\HomeController.php                                       | PHP        |         10 |          0 |          4 |         14 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\Product\CatalogController.php                            | PHP        |         98 |          0 |          4 |        102 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\Product\CategoriesController.php                         | PHP        |         18 |          0 |          4 |         22 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\User\UserAuthController.php                              | PHP        |        147 |          6 |         10 |        163 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\User\UserController.php                                  | PHP        |         39 |          0 |          4 |         43 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\User\UserOrderController.php                             | PHP        |         60 |          0 |          4 |         64 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\User\UserReviewController.php                            | PHP        |         98 |          0 |          4 |        102 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Kernel.php                                                           | PHP        |         41 |         21 |          7 |         69 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Middleware\Authenticate.php                                          | PHP        |         12 |          6 |          4 |         22 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Middleware\AuthorizeAdminMiddleware.php                              | PHP        |         23 |          7 |          4 |         34 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Middleware\EncryptCookies.php                                        | PHP        |          8 |          6 |          4 |         18 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Middleware\PreventRequestsDuringMaintenance.php                      | PHP        |          8 |          6 |          4 |         18 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Middleware\RedirectIfAuthenticated.php                               | PHP        |         19 |          8 |          6 |         33 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Middleware\TrimStrings.php                                           | PHP        |         11 |          5 |          4 |         20 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Middleware\TrustHosts.php                                            | PHP        |         12 |          5 |          4 |         21 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Middleware\TrustProxies.php                                          | PHP        |         14 |         10 |          5 |         29 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Middleware\ValidateSignature.php                                     | PHP        |          8 |         11 |          4 |         23 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Middleware\VerifyCsrfToken.php                                       | PHP        |          8 |          6 |          4 |         18 |
