"filename", "language", "PHP", "comment", "blank", "total"
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\API\V1\APICategoriesController.php", "PHP", 40, 30, 8, 78
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\API\V1\APIHomeController.php", "PHP", 11, 0, 4, 15
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\API\V1\APIProductsController.php", "PHP", 57, 0, 4, 61
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\API\V1\APISubcategoriesController.php", "PHP", 40, 30, 9, 79
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\API\V1\ProductsController.php", "PHP", -46, -33, -12, -91
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\Admin\AdminPanelController.php", "PHP", 18, 0, 4, 22
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\Admin\ProductsAdminPanelController.php", "PHP", 72, 0, 4, 76
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\Admin\UsersAdminPanelController.php", "PHP", 13, 0, 4, 17
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\CatalogController.php", "PHP", -97, 0, -4, -101
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\CategoriesController.php", "PHP", -17, 0, -4, -21
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\FallbackController.php", "PHP", 10, 0, 4, 14
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\Product\CatalogController.php", "PHP", 98, 0, 4, 102
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\Product\CategoriesController.php", "PHP", 18, 0, 4, 22
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\UserController.php", "PHP", -314, 0, -10, -324
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\User\UserAuthController.php", "PHP", 147, 6, 10, 163
