Date : 2024-06-16 00:55:37
Directory : c:\Users\admin\source\repos\Silerium_laravel
Total : 157 files,  17546 codes, 1518 comments, 799 blanks, all 19863 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          5 |     12,714 |          0 |          5 |     12,719 |
| PHP        |        140 |      4,585 |      1,493 |        759 |      6,837 |
| JavaScript |          6 |        133 |         23 |         15 |        171 |
| CSS        |          3 |         75 |          2 |         17 |         94 |
| XML        |          1 |         31 |          0 |          1 |         32 |
| Ini        |          1 |          6 |          0 |          1 |          7 |
| Markdown   |          1 |          2 |          0 |          1 |          3 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                          |        157 |     17,546 |      1,518 |        799 |     19,863 |
| . (Files)                                                                                                                  |          9 |     12,682 |          0 |         12 |     12,694 |
| .osp                                                                                                                       |          1 |          6 |          0 |          1 |          7 |
| app                                                                                                                        |         57 |      1,412 |        325 |        263 |      2,000 |
| app\ApiFilters                                                                                                             |          2 |         53 |          0 |         12 |         65 |
| app\ApiFilters (Files)                                                                                                     |          1 |          9 |          0 |          4 |         13 |
| app\ApiFilters\V1                                                                                                          |          1 |         44 |          0 |          8 |         52 |
| app\Console                                                                                                                |          1 |         15 |         12 |          6 |         33 |
| app\Enum                                                                                                                   |          2 |         27 |          0 |          2 |         29 |
| app\Exceptions                                                                                                             |          1 |         21 |         23 |          7 |         51 |
| app\Facades                                                                                                                |          3 |         30 |          0 |          9 |         39 |
| app\Http                                                                                                                   |         21 |        696 |        147 |        104 |        947 |
| app\Http (Files)                                                                                                           |          1 |         40 |         21 |          7 |         68 |
| app\Http\Controllers                                                                                                       |          6 |        494 |         33 |         38 |        565 |
| app\Http\Controllers (Files)                                                                                               |          5 |        448 |          0 |         26 |        474 |
| app\Http\Controllers\API                                                                                                   |          1 |         46 |         33 |         12 |         91 |
| app\Http\Controllers\API\V1                                                                                                |          1 |         46 |         33 |         12 |         91 |
| app\Http\Middleware                                                                                                        |          9 |        100 |         63 |         39 |        202 |
| app\Http\Resources                                                                                                         |          5 |         62 |         30 |         20 |        112 |
| app\Http\Resources\V1                                                                                                      |          5 |         62 |         30 |         20 |        112 |
| app\Models                                                                                                                 |          9 |        207 |         16 |         43 |        266 |
| app\Providers                                                                                                              |          8 |        144 |         93 |         47 |        284 |
| app\Services                                                                                                               |          6 |        163 |          4 |         12 |        179 |
| app\View                                                                                                                   |          4 |         56 |         30 |         21 |        107 |
| app\View\Components                                                                                                        |          4 |         56 |         30 |         21 |        107 |
| bootstrap                                                                                                                  |          1 |         17 |         30 |          9 |         56 |
| config                                                                                                                     |         15 |        551 |        733 |        237 |      1,521 |
| database                                                                                                                   |         28 |        571 |        258 |        113 |        942 |
| database\factories                                                                                                         |          3 |         58 |         29 |         13 |        100 |
| database\migrations                                                                                                        |         20 |        407 |        203 |         80 |        690 |
| database\seeders                                                                                                           |          5 |        106 |         26 |         20 |        152 |
| lang                                                                                                                       |          7 |        685 |         60 |         33 |        778 |
| lang\en                                                                                                                    |          4 |        165 |         60 |         24 |        249 |
| lang\ru                                                                                                                    |          3 |        520 |          0 |          9 |        529 |
| public                                                                                                                     |          2 |         86 |         30 |         29 |        145 |
| public (Files)                                                                                                             |          1 |         14 |         30 |         12 |         56 |
| public\css                                                                                                                 |          1 |         72 |          0 |         17 |         89 |
| resources                                                                                                                  |         27 |      1,418 |         24 |         58 |      1,500 |
| resources\css                                                                                                              |          1 |          2 |          0 |          0 |          2 |
| resources\js                                                                                                               |          2 |         13 |         23 |          8 |         44 |
| resources\views                                                                                                            |         24 |      1,403 |          1 |         50 |      1,454 |
| resources\views (Files)                                                                                                    |          1 |         67 |          0 |          2 |         69 |
| resources\views\catalog                                                                                                    |          3 |        411 |          1 |         16 |        428 |
| resources\views\categories                                                                                                 |          2 |         55 |          0 |          4 |         59 |
| resources\views\components                                                                                                 |          4 |        115 |          0 |          4 |        119 |
| resources\views\pagination                                                                                                 |          1 |         43 |          0 |          4 |         47 |
| resources\views\user                                                                                                       |         13 |        712 |          0 |         20 |        732 |
| resources\views\user (Files)                                                                                               |          3 |        273 |          0 |          6 |        279 |
| resources\views\user\auth                                                                                                  |          5 |        207 |          0 |         10 |        217 |
| resources\views\user\orders                                                                                                |          2 |         63 |          0 |          2 |         65 |
| resources\views\user\review                                                                                                |          3 |        169 |          0 |          2 |        171 |
| routes                                                                                                                     |          4 |         71 |         40 |         24 |        135 |
| tests                                                                                                                      |          4 |         40 |         16 |         19 |         75 |
| tests (Files)                                                                                                              |          2 |         19 |          5 |         10 |         34 |
| tests\Feature                                                                                                              |          1 |         11 |          6 |          5 |         22 |
| tests\Unit                                                                                                                 |          1 |         10 |          5 |          4 |         19 |
| vendor                                                                                                                     |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie                                                                                                              |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition                                                                                                     |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition\resources                                                                                           |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition\resources\compiled                                                                                  |          2 |          7 |          2 |          1 |         10 |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                   | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\admin\source\repos\Silerium_laravel\.osp\project.ini                                                              | Ini        |          6 |          0 |          1 |          7 |
| c:\Users\admin\source\repos\Silerium_laravel\README.md                                                                     | Markdown   |          2 |          0 |          1 |          3 |
| c:\Users\admin\source\repos\Silerium_laravel\app\ApiFilters\ApiFilter.php                                                  | PHP        |          9 |          0 |          4 |         13 |
| c:\Users\admin\source\repos\Silerium_laravel\app\ApiFilters\V1\ProductFilter.php                                           | PHP        |         44 |          0 |          8 |         52 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Console\Kernel.php                                                        | PHP        |         15 |         12 |          6 |         33 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Enum\OrderStatus.php                                                      | PHP        |         16 |          0 |          1 |         17 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Enum\SortOrder.php                                                        | PHP        |         11 |          0 |          1 |         12 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Exceptions\Handler.php                                                    | PHP        |         21 |         23 |          7 |         51 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Facades\ConvertCurrency.php                                               | PHP        |         10 |          0 |          3 |         13 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Facades\ValidateEmail.php                                                 | PHP        |         10 |          0 |          3 |         13 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Facades\ValidatePhone.php                                                 | PHP        |         10 |          0 |          3 |         13 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\API\V1\ProductsController.php                            | PHP        |         46 |         33 |         12 |         91 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\CatalogController.php                                    | PHP        |         97 |          0 |          4 |        101 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\CategoriesController.php                                 | PHP        |         17 |          0 |          4 |         21 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\Controller.php                                           | PHP        |         10 |          0 |          4 |         14 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\HomeController.php                                       | PHP        |         10 |          0 |          4 |         14 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\UserController.php                                       | PHP        |        314 |          0 |         10 |        324 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Kernel.php                                                           | PHP        |         40 |         21 |          7 |         68 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Middleware\Authenticate.php                                          | PHP        |         12 |          6 |          4 |         22 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Middleware\EncryptCookies.php                                        | PHP        |          8 |          6 |          4 |         18 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Middleware\PreventRequestsDuringMaintenance.php                      | PHP        |          8 |          6 |          4 |         18 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Middleware\RedirectIfAuthenticated.php                               | PHP        |         19 |          8 |          6 |         33 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Middleware\TrimStrings.php                                           | PHP        |         11 |          5 |          4 |         20 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Middleware\TrustHosts.php                                            | PHP        |         12 |          5 |          4 |         21 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Middleware\TrustProxies.php                                          | PHP        |         14 |         10 |          5 |         29 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Middleware\ValidateSignature.php                                     | PHP        |          8 |         11 |          4 |         23 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Middleware\VerifyCsrfToken.php                                       | PHP        |          8 |          6 |          4 |         18 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Resources\V1\ImagesCollection.php                                    | PHP        |         10 |          6 |          4 |         20 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Resources\V1\ProductsCollection.php                                  | PHP        |         10 |          6 |          4 |         20 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Resources\V1\ProductsResource.php                                    | PHP        |         22 |          6 |          4 |         32 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Resources\V1\ReviewsCollection.php                                   | PHP        |         10 |          6 |          4 |         20 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Http\Resources\V1\SpecificationsCollection.php                            | PHP        |         10 |          6 |          4 |         20 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Models\Category.php                                                       | PHP        |         13 |          0 |          4 |         17 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Models\Order.php                                                          | PHP        |         27 |          0 |          4 |         31 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Models\Product.php                                                        | PHP        |         36 |          0 |          4 |         40 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Models\ProductImage.php                                                   | PHP        |         12 |          0 |          4 |         16 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Models\ProductSpecifications.php                                          | PHP        |         18 |          0 |          4 |         22 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Models\Review.php                                                         | PHP        |         36 |          0 |          7 |         43 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Models\ReviewsImages.php                                                  | PHP        |         12 |          0 |          4 |         16 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Models\Subcategory.php                                                    | PHP        |         16 |          0 |          4 |         20 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Models\User.php                                                           | PHP        |         37 |         16 |          8 |         61 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Providers\AppServiceProvider.php                                          | PHP        |         14 |         11 |          5 |         30 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Providers\AuthServiceProvider.php                                         | PHP        |         20 |         12 |          7 |         39 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Providers\BroadcastServiceProvider.php                                    | PHP        |         12 |          5 |          5 |         22 |
| c:\Users\admin\source\repos\Silerium_laravel\app\Providers\ConvertCurrencyServiceProvider.php                              | PHP        |         16 |         11 |          5 |         32 |
