"filename", "language", "PHP", "JSON", "comment", "blank", "total"
"c:\Users\admin\source\repos\Silerium_laravel\database\factories\BannedUserFactory.php", "PHP", 15, 0, 8, 4, 27
"c:\Users\admin\source\repos\Silerium_laravel\database\factories\RoleFactory.php", "PHP", 12, 0, 8, 4, 24
"c:\Users\admin\source\repos\Silerium_laravel\database\factories\UserApiKeyFactory.php", "PHP", 13, 0, 8, 4, 25
"c:\Users\admin\source\repos\Silerium_laravel\database\migrations\2024_12_05_181330_banned_users.php", "PHP", 24, 0, 10, 4, 38
"c:\Users\admin\source\repos\Silerium_laravel\database\migrations\2024_12_09_192735_users_api_keys.php", "PHP", 22, 0, 10, 4, 36
"c:\Users\admin\source\repos\Silerium_laravel\database\migrations\2024_12_16_164353_banned_users_admin_id_foreign.php", "PHP", 21, 0, 10, 4, 35
"c:\Users\admin\source\repos\Silerium_laravel\database\migrations\2024_12_17_172440_banned_users_datetime.php", "PHP", 22, 0, 10, 4, 36
"c:\Users\admin\source\repos\Silerium_laravel\database\seeders\RolesSeeder.php", "PHP", -4, 0, 0, 0, -4
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\admin\index.blade.php", "PHP", -7, 0, 0, -3, -10
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\admin\products\delete.blade.php", "PHP", -1, 0, 0, 1, 0
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\admin\products\index.blade.php", "PHP", 5, 0, 0, 0, 5
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\admin\products\reviews.blade.php", "PHP", 79, 0, 0, 1, 80
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\admin\products\update.blade.php", "PHP", 29, 0, 0, 0, 29
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\admin\users\ban.blade.php", "PHP", 107, 0, 0, 0, 107
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\admin\users\index.blade.php", "PHP", 30, 0, 0, 1, 31
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\admin\users\orders.blade.php", "PHP", 46, 0, 0, -3, 43
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\admin\users\reviews.blade.php", "PHP", 46, 0, 0, -1, 45
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\admin\users\roles.blade.php", "PHP", -35, 0, 0, -3, -38
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\banned.blade.php", "PHP", 41, 0, 0, 3, 44
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\catalog\products.blade.php", "PHP", -9, 0, 0, 0, -9
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\components\search-form.blade.php", "PHP", -1, 0, 0, 0, -1
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\seller\products\reviews.blade.php", "PHP", 66, 0, 0, -1, 65
"c:\Users\admin\source\repos\Silerium_laravel\routes\api\api.php", "PHP", 10, 0, 0, 2, 12
"c:\Users\admin\source\repos\Silerium_laravel\routes\web\admin.php", "PHP", 5, 0, 0, 1, 6
"c:\Users\admin\source\repos\Silerium_laravel\routes\web\seller.php", "PHP", 10, 0, 0, 2, 12
"c:\Users\admin\source\repos\Silerium_laravel\routes\web\user.php", "PHP", 10, 0, 0, 2, 12
"c:\Users\admin\source\repos\Silerium_laravel\routes\web\web.php", "PHP", 2, 0, 0, 1, 3
"c:\Users\admin\source\repos\Silerium_laravel\tests\Feature\API\APIProductTest.php", "PHP", 33, 0, 0, 12, 45
"c:\Users\admin\source\repos\Silerium_laravel\tests\Feature\API\APIReviewTest.php", "PHP", 41, 0, 0, 16, 57
"c:\Users\admin\source\repos\Silerium_laravel\tests\Feature\API\APISubcategoriesTest.php", "PHP", 38, 0, 0, 10, 48
"c:\Users\admin\source\repos\Silerium_laravel\tests\Feature\API\APIUsersTest.php", "PHP", 10, 0, 0, 3, 13
"c:\Users\admin\source\repos\Silerium_laravel\tests\Feature\User\BanUserTest.php", "PHP", 36, 0, 0, 15, 51
"Total", "-", 1356, 518, 118, 177, 2169
