"filename", "language", "PHP", "CSS", "JavaScript", "JSON", "Markdown", "XML", "SQL", "Ini", "Properties", "comment", "blank", "total"
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Requests\User\UserLoginRequest.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 33
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Requests\User\UserRegisterRequest.php", "PHP", 36, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 51
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Requests\User\UserReviewRequest.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 40
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Resources\V1\ImagesCollection.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 20
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Resources\V1\ProductsCollection.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 20
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Resources\V1\ProductsResource.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 32
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Resources\V1\ReviewsCollection.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 20
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Resources\V1\SpecificationsCollection.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 20
"c:\Users\admin\source\repos\Silerium_laravel\app\Models\Category.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 29
"c:\Users\admin\source\repos\Silerium_laravel\app\Models\Order.php", "PHP", 45, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 57
"c:\Users\admin\source\repos\Silerium_laravel\app\Models\Product.php", "PHP", 53, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 64
"c:\Users\admin\source\repos\Silerium_laravel\app\Models\ProductImage.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 22
"c:\Users\admin\source\repos\Silerium_laravel\app\Models\ProductSpecifications.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 25
"c:\Users\admin\source\repos\Silerium_laravel\app\Models\Review.php", "PHP", 36, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 47
"c:\Users\admin\source\repos\Silerium_laravel\app\Models\ReviewsImages.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 22
"c:\Users\admin\source\repos\Silerium_laravel\app\Models\Role.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 28
"c:\Users\admin\source\repos\Silerium_laravel\app\Models\Seller.php", "PHP", 38, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 51
