"filename", "language", "PHP", "JavaScript", "CSS", "Markdown", "XML", "JSON", "SQL", "Properties", "Ini", "comment", "blank", "total"
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\User\UserAuthController.php", "PHP", 129, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 145
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\User\UserController.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\User\UserOrderController.php", "PHP", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 55
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Controllers\User\UserReviewController.php", "PHP", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 83
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Kernel.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 0, 0, 21, 7, 69
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Middleware\Authenticate.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 22
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Middleware\AuthorizeAdminPanelMiddleware.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 35
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Middleware\EncryptCookies.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 18
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Middleware\PreventRequestsDuringMaintenance.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 18
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Middleware\RedirectIfAuthenticated.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 33
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Middleware\TrimStrings.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 20
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Middleware\TrustHosts.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 21
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Middleware\TrustProxies.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 29
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Middleware\ValidateSignature.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 23
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Middleware\VerifyCsrfToken.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 18
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Requests\UserEditProfileRequest.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 39
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Requests\UserLoginRequest.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 32
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Requests\UserRegisterRequest.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 40
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Resources\V1\ImagesCollection.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 20
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Resources\V1\ProductsCollection.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 20
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Resources\V1\ProductsResource.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 32
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Resources\V1\ReviewsCollection.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 20
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Resources\V1\SpecificationsCollection.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 20
"c:\Users\admin\source\repos\Silerium_laravel\app\Models\Category.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\admin\source\repos\Silerium_laravel\app\Models\Order.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35
"c:\Users\admin\source\repos\Silerium_laravel\app\Models\Product.php", "PHP", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 55
"c:\Users\admin\source\repos\Silerium_laravel\app\Models\ProductImage.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\admin\source\repos\Silerium_laravel\app\Models\ProductSpecifications.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\admin\source\repos\Silerium_laravel\app\Models\Review.php", "PHP", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 44
"c:\Users\admin\source\repos\Silerium_laravel\app\Models\ReviewsImages.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\admin\source\repos\Silerium_laravel\app\Models\Role.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\admin\source\repos\Silerium_laravel\app\Models\Seller.php", "PHP", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40
"c:\Users\admin\source\repos\Silerium_laravel\app\Models\Subcategory.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\admin\source\repos\Silerium_laravel\app\Models\User.php", "PHP", 53, 0, 0, 0, 0, 0, 0, 0, 0, 16, 9, 78
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\AppServiceProvider.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 11, 5, 30
