"filename", "language", "JavaScript", "PHP", "Markdown", "CSS", "JSON", "XML", "comment", "blank", "total"
"c:\OSPanel\domains\silerium\config\cors.php", "PHP", 0, 3, 0, 0, 0, 0, 29, 3, 35
"c:\OSPanel\domains\silerium\config\database.php", "PHP", 0, 83, 0, 0, 0, 0, 47, 21, 151
"c:\OSPanel\domains\silerium\config\filesystems.php", "PHP", 0, 41, 0, 0, 0, 0, 32, 14, 87
"c:\OSPanel\domains\silerium\config\hashing.php", "PHP", 0, 12, 0, 0, 0, 0, 32, 9, 53
"c:\OSPanel\domains\silerium\config\logging.php", "PHP", 0, 70, 0, 0, 0, 0, 34, 19, 123
"c:\OSPanel\domains\silerium\config\mail.php", "PHP", 0, 53, 0, 0, 0, 0, 47, 19, 119
"c:\OSPanel\domains\silerium\config\queue.php", "PHP", 0, 47, 0, 0, 0, 0, 32, 15, 94
"c:\OSPanel\domains\silerium\config\sanctum.php", "PHP", 0, 15, 0, 0, 0, 0, 41, 12, 68
"c:\OSPanel\domains\silerium\config\services.php", "PHP", 0, 17, 0, 0, 0, 0, 11, 7, 35
"c:\OSPanel\domains\silerium\config\session.php", "PHP", 0, 22, 0, 0, 0, 0, 147, 33, 202
"c:\OSPanel\domains\silerium\config\view.php", "PHP", 0, 10, 0, 0, 0, 0, 20, 7, 37
"c:\OSPanel\domains\silerium\database\factories\ProductFactory.php", "PHP", 0, 20, 0, 0, 0, 0, 8, 4, 32
"c:\OSPanel\domains\silerium\database\factories\ProductSpecificationsFactory.php", "PHP", 0, 15, 0, 0, 0, 0, 8, 4, 27
"c:\OSPanel\domains\silerium\database\factories\UserFactory.php", "PHP", 0, 23, 0, 0, 0, 0, 13, 5, 41
"c:\OSPanel\domains\silerium\database\migrations\2014_10_12_000000_create_users_table.php", "PHP", 0, 23, 0, 0, 0, 0, 10, 4, 37
"c:\OSPanel\domains\silerium\database\migrations\2014_10_12_100000_create_password_resets_table.php", "PHP", 0, 19, 0, 0, 0, 0, 10, 4, 33
"c:\OSPanel\domains\silerium\database\migrations\2019_08_19_000000_create_failed_jobs_table.php", "PHP", 0, 23, 0, 0, 0, 0, 10, 4, 37
"c:\OSPanel\domains\silerium\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php", "PHP", 0, 24, 0, 0, 0, 0, 10, 4, 38
"c:\OSPanel\domains\silerium\database\migrations\2023_09_21_065918_category_table.php", "PHP", 0, 20, 0, 0, 0, 0, 10, 4, 34
"c:\OSPanel\domains\silerium\database\migrations\2023_09_21_073241_subcategory_table.php", "PHP", 0, 19, 0, 0, 0, 0, 11, 4, 34
"c:\OSPanel\domains\silerium\database\migrations\2023_09_21_073752_products_specs_table.php", "PHP", 0, 19, 0, 0, 0, 0, 10, 4, 33
"c:\OSPanel\domains\silerium\database\migrations\2023_09_21_074216_product_table.php", "PHP", 0, 24, 0, 0, 0, 0, 10, 4, 38
"c:\OSPanel\domains\silerium\database\migrations\2023_09_21_075930_order_table.php", "PHP", 0, 24, 0, 0, 0, 0, 10, 4, 38
"c:\OSPanel\domains\silerium\database\migrations\2023_09_21_082113_alter_user_table.php", "PHP", 0, 23, 0, 0, 0, 0, 10, 4, 37
"c:\OSPanel\domains\silerium\database\migrations\2023_09_21_135800_product_images_table.php", "PHP", 0, 19, 0, 0, 0, 0, 10, 4, 33
"c:\OSPanel\domains\silerium\database\migrations\2023_09_22_083505_product_popularity.php", "PHP", 0, 19, 0, 0, 0, 0, 10, 4, 33
"c:\OSPanel\domains\silerium\database\migrations\2023_09_25_145454_soft_delete_orders.php", "PHP", 0, 19, 0, 0, 0, 0, 10, 4, 33
"c:\OSPanel\domains\silerium\database\migrations\2023_09_26_114122_product_specification_relation.php", "PHP", 0, 18, 0, 0, 0, 0, 10, 4, 32
"c:\OSPanel\domains\silerium\database\migrations\2023_09_26_140110_reviews.php", "PHP", 0, 26, 0, 0, 0, 0, 10, 4, 40
"c:\OSPanel\domains\silerium\database\migrations\2023_09_26_140803_reviews_images.php", "PHP", 0, 19, 0, 0, 0, 0, 10, 4, 33
"c:\OSPanel\domains\silerium\database\migrations\2023_09_26_144807_shopcart.php", "PHP", 0, 13, 0, 0, 0, 0, 12, 4, 29
"c:\OSPanel\domains\silerium\database\migrations\2023_09_26_145700_order_products.php", "PHP", 0, 19, 0, 0, 0, 0, 10, 4, 33
"c:\OSPanel\domains\silerium\database\migrations\2023_09_26_145712_order_users.php", "PHP", 0, 18, 0, 0, 0, 0, 10, 4, 32
"c:\OSPanel\domains\silerium\database\seeders\CategorySeeder.php", "PHP", 0, 34, 0, 0, 0, 0, 5, 4, 43
"c:\OSPanel\domains\silerium\database\seeders\DatabaseSeeder.php", "PHP", 0, 15, 0, 0, 0, 0, 6, 4, 25
